
Actions on Water,https://www.youtube.com/watch?v=YULdvSKFqPI,,
Sword Skip,https://www.youtube.com/watch?v=6_J14xLnVWM,,
Sword Tutorial Skip,https://www.youtube.com/watch?v=UKMbob07FNA,https://www.youtube.com/watch?v=PJTmIlGeQrg,
Isle of Ember Courage Gem Early,https://www.youtube.com/watch?v=IZiyFStyRfg,,
Pot Skip,https://www.youtube.com/watch?v=Xyguwnt9Lxo,,
Fire Temple Early Rat Key,https://www.youtube.com/watch?v=OJ-CwmYvWrc,,
B2 Boomerang Clip,https://www.youtube.com/watch?v=ftt3lP_qQDc,,
Bomb Garden Skip,https://www.youtube.com/watch?v=KtJ2GkNlr3E,,
Remote Control Block,https://www.youtube.com/watch?v=16hl9_mOLds,,
Wind Temple Early Boss Key,https://www.youtube.com/watch?v=16hl9_mOLds,,
Wind Temple B1 Out of Bounds,https://www.youtube.com/watch?v=ertGqXyGL-c,,
B4 Boomerang Clip,https://youtu.be/FbvG2Jzs68g?t=14,,
Phantom Eye Rub Command Glitch,https://www.youtube.com/watch?v=p8VLwsjFUG8,,
Molida Island Cave Out of Bounds,https://www.youtube.com/watch?v=yMI36m0Bus0,,
Spike Bar Clips,https://youtu.be/obfcsRPicRk?t=4121,,
Early Bow,https://www.youtube.com/watch?v=2DAUMNNQNhw,,
Jolene 1 Skip,https://www.youtube.com/watch?v=FHBw4TElg6M,,
Warp Displacement,https://www.youtube.com/watch?v=iCDyFouGCzs,,
Regal Necklace Skip,https://www.youtube.com/watch?v=rSLWeShjIw0,,
Hammer Glitch,https://youtu.be/obfcsRPicRk?t=7492,,
Launch Pad Skew,https://www.youtube.com/watch?v=qZzMGVTJMHE,,
Mutoh's Temple Boss Key Shortcut,https://www.youtube.com/watch?v=qZzMGVTJMHE,,
Mutoh's Temple Tile Puzzle Skip,https://www.youtube.com/watch?v=PtLMNPbfoCM,,
Shoot Arrows Through Objects,https://www.youtube.com/watch?v=XvgpXRtiq0w,,
Mutoh’s Temple Small Key Skip,https://www.youtube.com/watch?v=XvgpXRtiq0w,,
Goron Temple Early,https://www.youtube.com/watch?v=tUjm0CZAEVU,,
Goron Temple Boss Key Skip,https://www.youtube.com/watch?v=Z4cupNcYcUg,,
Dongorongo Softlock,https://www.youtube.com/watch?v=viqku7ZO54E,,
Bombchu Camera Lock,https://www.youtube.com/watch?v=BUWBODrGF-0,,
Goron Temple Boss Key Early,https://www.youtube.com/watch?v=BUWBODrGF-0,https://www.youtube.com/watch?v=tyy7W3-au7E,https://www.youtube.com/watch?v=FrdBA7idCWI
Ice Temple Early Shortcut,https://www.youtube.com/watch?v=Cj8NENQI-Tw,,
Color Switch Skip,https://www.youtube.com/watch?v=na6olZJgE3M,,
Ice Switch Skip,https://www.youtube.com/watch?v=aED-Yp_5MXo,,
Gleeok Quick Kill,https://youtu.be/na6olZJgE3M?t=151,,
Mercay Island Out of Bounds,https://www.youtube.com/watch?v=IcyfYE68LUQ,,
